record_id,print_edition,size,frame,sold,distributor,action,decision,reason
recglCnLPrIJucTf3,Quay Rocks - 95,Small,Mounted,checked,KENDALLS,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recZmumaDdcaFawVF,Quay Rocks - 95,Small,Mounted,checked,KENDALLS,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
receLfBsKhBy9SvBP,Quay Rocks - 97,Small,Mounted,checked,Direct,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
rec1yne3uc614w3VS,Quay Rocks - 97,Small,Framed,checked,Direct,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recii3fmK0OczKL03,Quay Rocks - 109,Large,Framed,checked,Direct,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recml7hER77awGJrF,Quay Rocks - 109,Small,Mounted,checked,Bramble and Berry,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recuRGExfuKhrTNos,Quay Rocks - 117,Large,Framed,checked,KENDALLS,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recZV4sxiDh4sa4oo,Quay Rocks - 117,Large,Framed,checked,Direct,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recTJeABZ6F9dbjH4,Quay Rocks - 131,Small,Framed,checked,Seaview Gallery,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recaQgsrhnDIY6Z0k,Quay Rocks - 131,Small,Mounted,checked,Seaview Gallery,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recpJk7vlcIwsEyZ3,Quay Rocks - 165,Large,Framed,checked,Seaview Gallery,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recWKjxWqCCDyZ7EM,Quay Rocks - 165,Large,Framed,checked,Seaview Gallery,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recBDuFF4H5gqGV6K,Regatta - 134,Large,Mounted,checked,Seaview Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rec4GAHashLqghBD5,Regatta - 134,Small,Framed,checked,Bramble and Berry,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rectGdJtVZytJMN6p,Regatta - 137,Large,Tube only,checked,Direct,KEEP,KEEP_SOLD,Only one marked as sold
rec5CGOO9vpZPIGe0,Regatta - 137,Large,Mounted,,Seaview Gallery,SKIP,KEEP_SOLD,Only one marked as sold
recZ6gL3ho7gE3oAc,Round the Island - 18,Large,Mounted,checked,Seaview Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recsLbPAw5T6TWjHI,Round the Island - 18,Small,Unknown Frame,checked,KENDALLS,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recVPXvPi3q1aD1Vk,Round the Island - 130,Small,Mounted,checked,Framers,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rece3V66CXURNiO1t,Round the Island - 130,Large,Framed,checked,Holly,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recyC0tOO1O5xcfv3,Royal Yacht Squadron - 112,Small,Mounted,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recoJ7eFkprMp0gKn,Royal Yacht Squadron - 112,Large,Framed,checked,Perera,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
reca5sg7KfsWktf3h,SEAGROVE - 198,Small,Mounted,checked,Seaview Gallery,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
rec7K0bxiKcGPNvh6,SEAGROVE - 198,Small,Mounted,checked,Seaview Gallery,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recLCahmMgvqyUjqW,SEAGROVE - 233,Small,Framed,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recN20NNsOFA6syD1,SEAGROVE - 233,Large,Framed,checked,Direct,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recUwRdgBbhib6nbr,West Cowes - 98,Small,Framed,checked,KENDALLS,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
rec94EFtUkKSg9LOs,West Cowes - 98,Large,Mounted,checked,Bembridge Sailing Club,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recaPsNycA3jM4bWD,West Cowes - 119,Large,Framed,checked,Perera,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recF2eyLXFCCQCkM1,West Cowes - 119,Large,Framed,checked,KENDALLS,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recYbePghyU9iXZIy,Yarmouth - 174,Small,Mounted,checked,Yarmouth Gallery,SKIP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
recBqLxux0boNeSWb,Yarmouth - 174,Small,Framed,checked,Yarmouth Gallery,KEEP,KEEP_FRAMED,"Different frames (Mounted, Framed), keeping Framed version"
rec2sdLA5zptiek1F,Yarmouth - 192,Small,Mounted,checked,Yarmouth Gallery,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recyNkOKfbudlZtU6,Yarmouth - 192,Large,Framed,checked,Yarmouth Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recef9wKyrEYtfWMp,Yarmouth - 192,Large,Framed,checked,Yarmouth Gallery,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recFg0AXX2tp9XjbC,Yarmouth Pier  - 45,Small,Framed,checked,Yarmouth Gallery,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recS8fAQjDVwUpXBM,Yarmouth Pier  - 45,Small,Framed,checked,Yarmouth Gallery,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recuynX8MqlDjYeFP,Yarmouth Pier  - 52,Unknown,,,Direct,SKIP,KEEP_SOLD,Only one marked as sold
recCjS1F0sxLPFQDy,Yarmouth Pier  - 52,Small,Framed,checked,KENDALLS,KEEP,KEEP_SOLD,Only one marked as sold
